date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
2015-06-30,40,39,74,64,50,47
2015-07-07,29,40,39,74,64,50
2015-07-14,11,29,40,39,74,64
2015-07-21,24,11,29,40,39,74
2015-07-28,68,24,11,29,40,39
2015-08-04,58,68,24,11,29,40
2015-08-11,37,58,68,24,11,29
2015-08-18,60,37,58,68,24,11
2015-08-25,41,60,37,58,68,24
2015-09-01,47,41,60,37,58,68
2015-09-08,56,47,41,60,37,58
2015-09-15,51,56,47,41,60,37
2015-09-22,62,51,56,47,41,60
2015-09-29,22,62,51,56,47,41
2015-10-06,63,22,62,51,56,47
2015-10-13,53,63,22,62,51,56
2015-10-20,67,53,63,22,62,51
2015-10-27,74,67,53,63,22,62
2015-11-03,64,74,67,53,63,22
2015-11-10,68,64,74,67,53,63
2015-11-17,54,68,64,74,67,53
2015-11-24,53,54,68,64,74,67
2015-12-01,60,53,54,68,64,74
2015-12-08,67,60,53,54,68,64
2015-12-15,74,67,60,53,54,68
2015-12-22,55,74,67,60,53,54
2015-12-29,52,55,74,67,60,53
2016-01-05,49,52,55,74,67,60
2016-01-12,45,49,52,55,74,67
2016-01-19,62,45,49,52,55,74
2016-01-26,71,62,45,49,52,55
2016-02-02,63,71,62,45,49,52
2016-02-09,36,63,71,62,45,49
2016-02-16,23,36,63,71,62,45
2016-02-23,19,23,36,63,71,62
2016-03-01,22,19,23,36,63,71
2016-03-08,32,22,19,23,36,63
2016-03-15,38,32,22,19,23,36
2016-03-22,64,38,32,22,19,23
2016-03-29,54,64,38,32,22,19
2016-04-05,54,54,64,38,32,22
2016-04-12,76,54,54,64,38,32
2016-04-19,74,76,54,54,64,38
2016-04-26,74,74,76,54,54,64
2016-05-03,79,74,74,76,54,54
2016-05-10,57,79,74,74,76,54
2016-05-17,80,57,79,74,74,76
2016-05-24,88,80,57,79,74,74
2016-05-31,75,88,80,57,79,74
2016-06-07,78,75,88,80,57,79
