date,demand,distance,service_General Medicine,service_Gynaecology,service_Pediatrics,service_Pharmacy,mohafaza_B,mohafaza_N,mohafaza_NE
2016-04-05,103,427,0,1,0,0,0,0,1
2016-04-12,76,186,0,1,0,0,0,0,1
2016-04-19,69,279,0,1,0,0,0,0,1
2016-04-26,79,265,0,1,0,0,0,0,1
2016-05-03,65,248,0,1,0,0,0,0,1
2016-05-10,89,322,0,1,0,0,0,0,1
2016-05-17,150,225,0,1,0,0,0,0,1
2016-05-24,73,284,0,1,0,0,0,0,1
2016-05-31,102,173,0,1,0,0,0,0,1
2016-06-07,105,271,0,1,0,0,0,0,1
2014-02-11,9,219,0,1,0,0,1,0,0
2014-02-18,9,205,0,1,0,0,1,0,0
2014-02-25,7,286,0,1,0,0,1,0,0
2014-03-04,6,294,0,1,0,0,1,0,0
2014-03-11,20,265,0,1,0,0,1,0,0
2014-03-18,11,174,0,1,0,0,1,0,0
2014-03-25,10,272,0,1,0,0,1,0,0
2014-04-01,14,344,0,1,0,0,1,0,0
2014-04-08,13,291,0,1,0,0,1,0,0
2014-04-15,15,159,0,1,0,0,1,0,0
2014-04-22,17,217,0,1,0,0,1,0,0
2014-04-29,8,155,0,1,0,0,1,0,0
2014-05-06,8,187,0,1,0,0,1,0,0
2014-05-13,20,233,0,1,0,0,1,0,0
2014-05-20,19,187,0,1,0,0,1,0,0
2014-05-27,13,197,0,1,0,0,1,0,0
2014-06-03,15,243,0,1,0,0,1,0,0
2014-06-10,17,405,0,1,0,0,1,0,0
2014-06-17,17,209,0,1,0,0,1,0,0
2014-06-24,9,147,0,1,0,0,1,0,0
2014-07-01,6,167,0,1,0,0,1,0,0
2014-07-08,8,137,0,1,0,0,1,0,0
2014-07-15,7,140,0,1,0,0,1,0,0
2014-07-22,15,156,0,1,0,0,1,0,0
2014-07-29,10,298,0,1,0,0,1,0,0
2014-08-05,1,140,0,1,0,0,1,0,0
2014-08-12,13,161,0,1,0,0,1,0,0
2014-08-19,13,179,0,1,0,0,1,0,0
2014-08-26,7,163,0,1,0,0,1,0,0
2014-09-02,12,159,0,1,0,0,1,0,0
2014-09-09,4,227,0,1,0,0,1,0,0
2014-09-16,22,146,0,1,0,0,1,0,0
2014-09-23,6,180,0,1,0,0,1,0,0
2014-09-30,21,276,0,1,0,0,1,0,0
2014-10-07,13,139,0,1,0,0,1,0,0
2014-10-14,6,152,0,1,0,0,1,0,0
2014-10-21,28,247,0,1,0,0,1,0,0
2014-10-28,28,136,0,1,0,0,1,0,0
2014-11-04,22,253,0,1,0,0,1,0,0
2014-11-11,11,258,0,1,0,0,1,0,0
2014-11-18,29,187,0,1,0,0,1,0,0
2014-11-25,24,275,0,1,0,0,1,0,0
2014-12-02,27,137,0,1,0,0,1,0,0
2014-12-09,10,172,0,1,0,0,1,0,0
2014-12-16,30,286,0,1,0,0,1,0,0
2014-12-23,14,495,0,1,0,0,1,0,0
2014-12-30,12,332,0,1,0,0,1,0,0
