date,demand,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2016-08-02,22,198.84217082760918,38.0,24.0,10.0,16.0,19.0,44.38899825309165,-13.276449866956954
2016-08-09,17,195.35900217049183,22.0,38.0,24.0,10.0,16.0,44.037707527467916,-14.605866475064984
2016-08-16,23,206.70080320383812,17.0,22.0,38.0,24.0,10.0,43.68641680184419,-21.626590079344243
2016-08-23,46,366.03849416869264,23.0,17.0,22.0,38.0,24.0,43.33512607622046,-18.602441888751727
2016-08-30,37,175.79121628399915,46.0,23.0,17.0,22.0,38.0,42.98383535059672,-7.190473185338679
2016-09-06,36,176.49892546568225,37.0,46.0,23.0,17.0,22.0,42.632544624972994,-8.707991661412821
2016-09-13,34,179.12926643453048,36.0,37.0,46.0,23.0,17.0,42.281253899349274,0.9796180676412418
2016-09-20,68,289.3895129962328,34.0,36.0,37.0,46.0,23.0,41.92996317372553,-3.3263619468944383
2016-09-27,52,307.54904020174666,68.0,34.0,36.0,37.0,46.0,41.57867244810181,9.10483752574937
2016-10-04,57,185.25333005055265,52.0,68.0,34.0,36.0,37.0,41.22738172247807,-6.8165271041709286
2016-10-11,71,186.942618383218,57.0,52.0,68.0,34.0,36.0,40.876090996854344,-0.11609686229635095
2016-10-18,67,176.60183126047497,71.0,57.0,52.0,68.0,34.0,40.52480027123061,9.225359020603863
2016-10-25,70,186.56891136829518,67.0,71.0,57.0,52.0,68.0,40.17350954560688,14.666173877863054
2016-11-01,43,174.81304200561692,70.0,67.0,71.0,57.0,52.0,39.82221881998315,5.965963094096612
2016-11-08,71,237.25247938910383,43.0,70.0,67.0,71.0,57.0,39.470928094359415,10.45485487443273
2016-11-15,58,173.01701033691631,71.0,43.0,70.0,67.0,71.0,39.11963736873568,19.616823577845768
2016-11-22,69,173.6872849994055,58.0,71.0,43.0,70.0,67.0,38.768346643111954,11.256356383822913
2016-11-29,73,172.73441365359787,69.0,58.0,71.0,43.0,70.0,38.41705591748822,11.046530215441077
2016-12-06,62,190.5660568249821,73.0,69.0,58.0,71.0,43.0,38.06576519186449,17.884780970136163
2016-12-13,81,196.6425361804014,62.0,73.0,69.0,58.0,71.0,37.71447446624076,21.082006083805613
2016-12-20,114,198.64353819461132,81.0,62.0,73.0,69.0,58.0,37.36318374061703,22.891410684654552
2016-12-27,74,163.31881767666232,114.0,81.0,62.0,73.0,69.0,37.0118930149933,45.00209733678554
2017-01-03,54,194.8470083057963,74.0,114.0,81.0,62.0,73.0,36.66060228936957,25.833937835070376
